Site,Latitude,Longitude
TDH,0.694072226,34.18691322
Patongo,2.7608,33.3118
Mulago,0.340781681,32.57814621
Butabika,0.314034634,32.6606788
Masafu,0.413245914,34.0350664
Busiu,0.924950121,34.16019104
Tororo,0.694072226,34.18691322
Kampala,0.314034634,32.6606788
Kalongo,3.16021,33.37133
Mbale,1.08758,34.18452
Kumi,1.48876,33.93587
Soroti,1.71385,33.60239
Apapai,1.89973,33.39905
Amidakan,1.93912,33.35017
Otuboi,1.918303,33.300448
Lwala,1.869581,33.268849
Dokolo,1.91694,33.17192
Agwata,1.97801,32.92102
Lira,2.23582,32.89189
Otuke,2.468416,33.191622
Adwari,2.433583,33.256617
